date,historical_rating,chronos_forecast,chronos_lower_80,chronos_upper_80,prophet_forecast,prophet_lower_80,prophet_upper_80
17-11-2025,4.4,4.49,4.4,4.49,4.8,4.79,4.8
18-11-2025,4.4,4.49,4.4,4.49,4.8,4.73,4.8
19-11-2025,4.4,4.49,4.4,4.5,4.8,4.71,4.8
20-11-2025,4.4,4.49,4.4,4.49,4.8,4.8,4.8
21-11-2025,4.4,4.49,4.4,4.49,4.8,4.8,4.8
22-11-2025,4.4,4.49,4.4,4.5,4.8,4.8,4.8
23-11-2025,4.4,4.49,4.4,4.56,4.8,4.8,4.8
24-11-2025,4.4,4.49,4.4,4.49,4.8,4.8,4.8
25-11-2025,4.4,4.49,4.4,4.59,4.8,4.74,4.8
26-11-2025,4.4,4.49,4.4,4.59,4.8,4.69,4.8
27-11-2025,4.4,4.49,4.4,4.5,4.8,4.76,4.8
28-11-2025,4.4,4.49,4.4,4.59,4.8,4.77,4.8
29-11-2025,4.4,4.49,4.4,4.5,4.8,4.7,4.8
30-11-2025,4.4,4.49,4.4,4.59,4.8,4.71,4.8
01-12-2025,4.4,4.49,4.4,4.59,4.8,4.67,4.8
02-12-2025,4.4,4.49,4.4,4.5,4.73,4.57,4.8
03-12-2025,4.4,4.49,4.4,4.53,4.67,4.52,4.8
04-12-2025,4.4,4.49,4.4,4.59,4.73,4.58,4.8
05-12-2025,4.4,4.49,4.4,4.59,4.73,4.57,4.8
06-12-2025,4.4,4.49,4.4,4.59,4.66,4.52,4.8
07-12-2025,4.4,4.49,4.4,4.5,4.67,4.52,4.8
08-12-2025,4.4,4.49,4.4,4.59,4.64,4.49,4.8
09-12-2025,4.4,4.49,4.4,4.59,4.55,4.41,4.7
10-12-2025,4.4,4.49,4.4,4.59,4.51,4.35,4.65
11-12-2025,4.4,4.49,4.4,4.59,4.58,4.44,4.74
12-12-2025,4.4,4.49,4.4,4.59,4.6,4.44,4.75
13-12-2025,4.4,4.49,4.4,4.59,4.55,4.4,4.7
14-12-2025,4.4,4.49,4.4,4.59,4.57,4.41,4.72
15-12-2025,4.4,4.49,4.4,4.6,4.56,4.41,4.72
16-12-2025,4.4,4.49,4.4,4.6,4.49,4.33,4.63
